Feature_swissTLM3D
TLM_CLASS
TLM_FREIZEITAREAL
TLM_NUTZUNGSAREAL
TLM_VERKEHRSAREAL
TLM_SCHUTZGEBIET
TLM_SCHULE
TLM_GEBAEUDE_FOOTPRINT
TLM_MAUER
TLM_SPORTBAUTE_LIN
TLM_SPORTBAUTE_PLY
TLM_STAUBAUTE
TLM_VERBAUUNG
TLM_VERKEHRSBAUTE_LIN
TLM_VERKEHRSBAUTE_PLY
TLM_LEITUNG
TLM_STROMTRASSE
TLM_VERSORGUNGSBAUTE_PKT
TLM_GLAMOS
TLM_BODENBEDECKUNG
TLM_EINZELBAUM_GEBUESCH
TLM_EINZELOBJEKT
TLM_FLIESSGEWAESSER
TLM_STEHENDES_GEWAESSER
TLM_FLURNAME
TLM_GEBIETSNAME
TLM_GELAENDENAME
TLM_NAME_PKT
TLM_SIEDLUNGSNAME
TLM_EISENBAHN
TLM_HALTESTELLE
TLM_SCHIFFFAHRT
TLM_UEBRIGE_BAHN
TLM_AUS_EINFAHRT
TLM_STRASSE
TLM_STRASSENINFO
TLM_STRASSENROUTE
TLM_STRASSENNAME
